ENSG00000105953	1.0
ENSG00000068305	1.0
ENSG00000055070	1.0
ENSG00000107159	1.0
ENSG00000107819	1.0
ENSG00000229697	1.0
ENSG00000042493	1.0
ENSG00000108424	1.0
ENSG00000108515	1.0
ENSG00000229183	1.0
ENSG00000108592	1.0
ENSG00000059804	1.0
ENSG00000108846	1.0
ENSG00000108861	1.0
ENSG00000108883	1.0
ENSG00000108946	1.0
ENSG00000109107	1.0
ENSG00000125166	1.0
ENSG00000215498	1.0
ENSG00000214753	1.0
ENSG00000117394	1.0
ENSG00000054611	1.0
ENSG00000106683	1.0
ENSG00000106682	1.0
ENSG00000111642	1.0
ENSG00000003056	1.0
ENSG00000110514	1.0
ENSG00000065427	1.0
ENSG00000110880	1.0
ENSG00000065923	1.0
ENSG00000111144	1.0
ENSG00000041357	1.0
ENSG00000111605	1.0
ENSG00000111674	1.0
ENSG00000106263	1.0
ENSG00000105355	1.0
ENSG00000111786	1.0
ENSG00000067057	1.0
ENSG00000109606	1.0
ENSG00000112715	1.0
ENSG00000109519	1.0
ENSG00000061656	1.0
ENSG00000106089	1.0
ENSG00000068120	1.0
ENSG00000118785	1.0
ENSG00000110031	1.0
ENSG00000104812	1.0
ENSG00000067836	1.0
ENSG00000214517	1.0
ENSG00000115159	1.0
ENSG00000115233	1.0
ENSG00000067992	1.0
ENSG00000100764	1.0
ENSG00000115310	1.0
ENSG00000115419	1.0
ENSG00000214193	1.0
ENSG00000115657	1.0
ENSG00000214081	1.0
ENSG00000115762	1.0
ENSG00000115866	1.0
ENSG00000104951	1.0
ENSG00000214078	1.0
ENSG00000116688	1.0
ENSG00000137845	1.0
ENSG00000102007	1.0
ENSG00000168894	1.0
ENSG00000067829	1.0
ENSG00000114573	1.0
ENSG00000067704	1.0
ENSG00000069329	1.0
ENSG00000213672	1.0
ENSG00000119321	1.0
ENSG00000104783	1.0
ENSG00000213639	1.0
ENSG00000119392	1.0
ENSG00000104687	1.0
ENSG00000213585	1.0
ENSG00000213024	1.0
ENSG00000237686	1.0
ENSG00000114480	1.0
ENSG00000104419	1.0
ENSG00000069956	1.0
ENSG00000205129	1.0
ENSG00000137817	1.0
ENSG00000116871	1.0
ENSG00000114268	1.0
ENSG00000116863	1.0
ENSG00000116478	1.0
ENSG00000225697	1.0
ENSG00000002834	1.0
ENSG00000099991	1.0
ENSG00000135829	1.0
ENSG00000204463	1.0
ENSG00000204371	1.0
ENSG00000103932	1.0
ENSG00000072110	1.0
ENSG00000071127	1.0
ENSG00000103591	1.0
ENSG00000127824	1.0
ENSG00000203879	1.0
ENSG00000131238	1.0
ENSG00000128245	1.0
ENSG00000128578	1.0
ENSG00000126214	1.0
ENSG00000129245	1.0
ENSG00000103966	1.0
ENSG00000103507	1.0
ENSG00000035403	1.0
ENSG00000104142	1.0
ENSG00000196365	1.0
ENSG00000135723	1.0
ENSG00000126777	1.0
ENSG00000204843	1.0
ENSG00000103855	1.0
ENSG00000259261	1.0
ENSG00000130640	1.0
ENSG00000125755	1.0
ENSG00000198363	1.0
ENSG00000073969	1.0
ENSG00000125753	1.0
ENSG00000272870	1.0
ENSG00000125744	1.0
ENSG00000130706	1.0
ENSG00000125629	1.0
ENSG00000129521	1.0
ENSG00000130821	1.0
ENSG00000240240	1.0
ENSG00000197747	1.0
ENSG00000131236	1.0
ENSG00000197694	1.0
ENSG00000198898	1.0
ENSG00000198911	1.0
ENSG00000198925	1.0
ENSG00000135766	1.0
ENSG00000075415	1.0
ENSG00000064726	1.0
ENSG00000136143	1.0
ENSG00000074603	1.0
ENSG00000132463	1.0
ENSG00000132612	1.0
ENSG00000272872	1.0
ENSG00000102908	1.0
ENSG00000197226	1.0
ENSG00000132792	1.0
ENSG00000134107	1.0
ENSG00000006744	1.0
ENSG00000197102	1.0
